StockID,Main event,Counter event
m_fort,-0.089,0.056
d_rwex,-0.046,0.015
d_swvx,-0.038,0.060
e_ctg,-0.016,-0.015
b_sof,-0.015,0.037
i_a2a,-0.012,0.045
p_ecp,-0.011,-0.009
i_enel,-0.007,0.013
ng,-0.002,-0.013
i_hera,0.000,-0.035
cna,0.003,0.015
e_ree,0.006,0.016
e_enag,0.010,0.028
g_ppc,0.012,0.030
e_ibe,0.015,0.019
o_verb,9999999999.000,9999999999.000
ipr,9999999999.000,9999999999.000
e_unf,9999999999.000,9999999999.000
dk_vew,9999999999.000,9999999999.000
d_eonx,9999999999.000,9999999999.000
bgy,9999999999.000,9999999999.000
i_tern,9999999999.000,9999999999.000
sse,9999999999.000,9999999999.000
