,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event
52315,d_tuix,16553,-1.63%,-0.013582746,6330,63,0.0
52316,d_tuix,16554,-1.87%,-0.001417963,6330,63,0.0
52317,d_tuix,16559,0.48%,0.009095093,6330,63,0.0
52318,d_tuix,16560,-0.58%,0.005167558,6330,63,0.0
52319,d_tuix,16561,1.12%,0.005707819,6330,63,0.0
52320,d_tuix,16562,-0.26%,0.004337201,6330,63,0.0
52321,d_tuix,16565,-0.26%,-0.003390596,6330,63,0.0
52322,d_tuix,16566,2.28%,-0.007306199,6330,63,0.0
52323,d_tuix,16567,2.02%,-0.002138066,6330,63,0.0
52324,d_tuix,16568,0.61%,0.00612259,6330,63,0.0
52325,d_tuix,16569,0.63%,4.99759e-05,6330,63,0.0
52326,d_tuix,16572,-0.42%,-0.004197651,6330,63,0.0
52327,d_tuix,16573,-1.41%,0.001030659,6330,63,0.0
52328,d_tuix,16574,1.59%,0.011437487,6330,63,0.0
52329,d_tuix,16575,2.09%,0.004704767,6330,63,0.0
52330,d_tuix,16576,0.00%,0.000876537,6330,63,0.0
52331,d_tuix,16579,0.31%,0.004109947,6330,63,0.0
52332,d_tuix,16580,-0.51%,-0.000789218,6330,63,0.0
52333,d_tuix,16581,0.92%,-0.000570614,6330,63,0.0
52334,d_tuix,16582,0.36%,0.007013857,6330,63,0.0
52335,d_tuix,16583,0.76%,-0.000882414,6330,63,0.0
52336,d_tuix,16587,1.10%,0.00448707,6330,63,0.0
52337,d_tuix,16588,1.24%,0.013386121,6330,63,0.0
52338,d_tuix,16589,0.49%,-0.000151309,6330,63,0.0
52339,d_tuix,16596,0.54%,0.004257242,6330,63,0.0
52340,d_tuix,16597,0.92%,0.006048266,6330,63,0.0
52341,d_tuix,16600,-0.77%,0.00398708,6330,63,0.0
52342,d_tuix,16601,-0.10%,0.00138692,6330,63,0.0
52343,d_tuix,16602,-0.82%,-0.004020325,6330,63,0.0
52344,d_tuix,16603,-0.20%,0.00552928,6330,63,0.0
52345,d_tuix,16604,2.35%,0.001313935,6330,63,0.0
52346,d_tuix,16607,-0.77%,-0.000337068,6330,63,0.0
52347,d_tuix,16608,0.58%,0.004808192,6330,63,0.0
52348,d_tuix,16609,0.00%,0.00116199,6330,63,0.0
52349,d_tuix,16610,0.48%,0.004202994,6330,63,0.0
52350,d_tuix,16611,-2.72%,-0.008151721,6330,63,0.0
52351,d_tuix,16614,0.10%,-0.009713451,6330,63,0.0
52352,d_tuix,16615,0.93%,0.008522274,6330,63,0.0
52353,d_tuix,16616,-0.39%,0.002964198,6330,63,0.0
52354,d_tuix,16617,-0.19%,-0.003136038,6330,63,0.0
52355,d_tuix,16618,0.73%,0.007810287,6330,63,0.0
52356,d_tuix,16622,-0.05%,0.000251759,6330,63,0.0
52357,d_tuix,16623,2.13%,0.005896191,6330,63,0.0
52358,d_tuix,16624,-2.32%,-0.018221237,6330,63,0.0
52359,d_tuix,16625,0.83%,0.013775767,6330,63,0.0
52360,d_tuix,16628,3.18%,0.005260896,6330,63,0.0
52361,d_tuix,16629,-0.70%,-0.003822247,6330,63,0.0
52362,d_tuix,16630,0.33%,0.005712415,6330,63,0.0
52363,d_tuix,16631,0.56%,0.004567566,6330,63,0.0
52364,d_tuix,16632,-0.98%,-0.001803078,6330,63,0.0
52365,d_tuix,16635,-0.24%,-0.00235759,6330,63,0.0
52366,d_tuix,16637,-0.79%,0.001742948,6330,63,0.0
52367,d_tuix,16638,0.42%,0.00144099,6330,63,0.0
52368,d_tuix,16639,1.03%,0.000699887,6330,63,0.0
52369,d_tuix,16642,-0.28%,0.004161065,6330,63,0.0
52370,d_tuix,16643,-0.42%,0.000593994,6330,63,0.0
52371,d_tuix,16644,0.23%,0.002805696,6330,63,0.0
