,Firmid,Realdate,Dprice,Dmarket,Nace,Nace2,Event,Bigevent,Upevent,Bigeventcount
25080,ccl,16553,-2.66%,-0.013582746,6110,61,0.0,0.0,0.0,19
25081,ccl,16554,0.99%,-0.001417963,6110,61,0.0,0.0,0.0,19
25082,ccl,16559,2.61%,0.009095093,6110,61,0.0,0.0,0.0,19
25083,ccl,16560,0.80%,0.005167558,6110,61,0.0,0.0,0.0,19
25084,ccl,16561,0.79%,0.005707819,6110,61,0.0,0.0,0.0,19
25085,ccl,16562,0.50%,0.004337201,6110,61,0.0,0.0,0.0,19
25086,ccl,16565,-0.71%,-0.003390596,6110,61,0.0,0.0,0.0,19
25087,ccl,16566,-1.36%,-0.007306199,6110,61,0.0,0.0,0.0,19
25088,ccl,16567,0.11%,-0.002138066,6110,61,0.0,0.0,0.0,19
25089,ccl,16568,1.96%,0.00612259,6110,61,0.0,0.0,0.0,19
25090,ccl,16569,1.67%,4.99759e-05,6110,61,0.0,0.0,0.0,19
25091,ccl,16572,2.14%,-0.004197651,6110,61,0.0,0.0,0.0,19
25092,ccl,16573,1.89%,0.001030659,6110,61,0.0,0.0,0.0,19
25093,ccl,16574,1.04%,0.011437487,6110,61,0.0,0.0,0.0,19
25094,ccl,16575,0.70%,0.004704767,6110,61,0.0,0.0,0.0,19
25095,ccl,16576,-0.60%,0.000876537,6110,61,0.0,0.0,0.0,19
25096,ccl,16579,1.47%,0.004109947,6110,61,0.0,0.0,0.0,19
25097,ccl,16580,-0.79%,-0.000789218,6110,61,0.0,0.0,0.0,19
25098,ccl,16581,-0.90%,-0.000570614,6110,61,0.0,0.0,0.0,19
25099,ccl,16582,1.44%,0.007013857,6110,61,0.0,0.0,0.0,19
25100,ccl,16583,-0.43%,-0.000882414,6110,61,0.0,0.0,0.0,19
25101,ccl,16587,-0.36%,0.00448707,6110,61,0.0,0.0,0.0,19
25102,ccl,16588,2.70%,0.013386121,6110,61,0.0,0.0,0.0,19
25103,ccl,16589,-1.33%,-0.000151309,6110,61,0.0,0.0,0.0,19
25104,ccl,16596,-0.57%,0.004257242,6110,61,0.0,0.0,0.0,19
25105,ccl,16597,-0.07%,0.006048266,6110,61,0.0,0.0,0.0,19
25106,ccl,16600,0.54%,0.00398708,6110,61,0.0,0.0,0.0,19
25107,ccl,16601,-0.27%,0.00138692,6110,61,0.0,0.0,0.0,19
25108,ccl,16602,-0.34%,-0.004020325,6110,61,0.0,0.0,0.0,19
25109,ccl,16603,5.03%,0.00552928,6110,61,0.0,0.0,0.0,19
25110,ccl,16604,1.35%,0.001313935,6110,61,0.0,0.0,0.0,19
25111,ccl,16607,-0.13%,-0.000337068,6110,61,0.0,0.0,0.0,19
25112,ccl,16608,-0.03%,0.004808192,6110,61,0.0,0.0,0.0,19
25113,ccl,16609,0.54%,0.00116199,6110,61,0.0,0.0,0.0,19
25114,ccl,16610,0.28%,0.004202994,6110,61,0.0,0.0,0.0,19
25115,ccl,16611,-0.95%,-0.008151721,6110,61,0.0,0.0,0.0,19
25116,ccl,16614,-0.92%,-0.009713451,6110,61,0.0,0.0,0.0,19
25117,ccl,16615,-0.10%,0.008522274,6110,61,0.0,0.0,0.0,19
25118,ccl,16616,1.38%,0.002964198,6110,61,0.0,0.0,0.0,19
25119,ccl,16617,0.44%,-0.003136038,6110,61,0.0,0.0,0.0,19
25120,ccl,16618,0.85%,0.007810287,6110,61,0.0,0.0,0.0,19
25121,ccl,16622,1.57%,0.000251759,6110,61,0.0,0.0,0.0,19
