realdate,date,date,eua price,DATE,crude oil,,natural gas,,Firmid,Counter event,Firmname,country,Main event,Counter event
16553,2005/4/27,27.04.2005,16.23,2005/4/27,51.29,27-Apr-05,7.1,,cna,0.015,CENTRICA,UK,0.003,0.015
16554,2005/4/28,28.04.2005,15.9,2005/4/28,50.74,28-Apr-05,6.67,,d_rwex,0.015,RWE (XET),Ger,-0.046,0.015
16559,2005/5/3,03.05.2005,16,2005/5/3,49.48,3-May-05,6.61,,d_swvx,0.06,SOLARWORLD (XET),Ger,-0.038,0.06
16560,2005/5/4,04.05.2005,15.85,2005/5/4,50.36,4-May-05,6.49,,e_ctg,-0.015,GAS NATURAL SDG,Span,-0.016,-0.015
16561,2005/5/5,,,2005/5/5,49.81,5-May-05,6.65,,e_enag,0.028,ENAGAS,Span,0.01,0.028
16562,2005/5/6,06.05.2005,16.05,2005/5/6,49.7,6-May-05,6.67,,e_ibe,0.019,IBERDROLA,span,0.015,0.019
16565,2005/5/9,09.05.2005,,2005/5/9,49.71,9-May-05,6.56,,e_ree,0.016,RED ELECTRICA DE ESPANA,span,0.006,0.016
16566,2005/5/10,10.05.2005,17.05,2005/5/10,50.61,10-May-05,6.67,,g_ppc,0.03,PUBLIC POWER,greece,0.012,0.03
16567,2005/5/11,11.05.2005,16.05,2005/5/11,48.91,11-May-05,6.63,,i_a2a,0.045,A2A,Italy,-0.012,0.045
16568,2005/5/12,12.05.2005,16,2005/5/12,47.4,12-May-05,6.62,,i_enel,0.013,ENEL,Italy,-0.007,0.013
16569,2005/5/13,13.05.2005,16,2005/5/13,46.85,13-May-05,6.47,,i_hera,-0.035,HERA,Italy,0,-0.035
16572,2005/5/16,,,2005/5/16,46.42,16-May-05,6.45,,m_fort,0.056,FORTUM,Fin,-0.089,0.056
16573,2005/5/17,17.05.2005,17.02,2005/5/17,47.31,17-May-05,6.41,,ng,-0.013,NATIONAL GRID,Bri,-0.002,-0.013
16574,2005/5/18,18.05.2005,16.81,2005/5/18,47.35,18-May-05,6.5,,p_ecp,-0.009,EDP ENERGIAS DE PORTUGAL,Por,-0.011,-0.009
16575,2005/5/19,19.05.2005,17.43,2005/5/19,46.92,19-May-05,6.39,,uu,-0.006806104,UNITED UTILITIES GROUP,UK,-0.24%,-0.006806104
16576,2005/5/20,20.05.2005,18.15,2005/5/20,46.91,20-May-05,6.36,,,,,,,
16579,2005/5/23,23.05.2005,18.5,2005/5/23,47.28,23-May-05,6.33,,,,,,,
16580,2005/5/24,24.05.2005,,2005/5/24,47.29,24-May-05,6.45,,,,,,,
16581,2005/5/25,25.05.2005,,2005/5/25,49.24,25-May-05,6.33,,,,,,,
16582,2005/5/26,26.05.2005,19.94,2005/5/26,49.71,26-May-05,6.3,,,,,,,
16583,2005/5/27,27.05.2005,19.69,2005/5/27,49.42,27-May-05,6.22,,,,,,,
16587,2005/5/31,31.05.2005,19.55,2005/5/31,49.3,31-May-05,6.31,,,,,,,
16588,2005/6/1,01.06.2005,19.32,2005/6/1,50.46,1-Jun-05,6.36,,,,,,,
16589,2005/6/2,02.06.2005,,2005/6/2,51.3,2-Jun-05,6.63,,,,,,,
16596,2005/6/9,09.06.2005,19.27,2005/6/9,51.36,9-Jun-05,7.05,,,,,,,
16597,2005/6/10,10.06.2005,19.21,2005/6/10,51.98,10-Jun-05,7.09,,,,,,,
16600,2005/6/13,13.06.2005,19.35,2005/6/13,52,13-Jun-05,7.08,,,,,,,
16601,2005/6/14,14.06.2005,19.4,2005/6/14,53.52,14-Jun-05,7.32,,,,,,,
16602,2005/6/15,15.06.2005,19.45,2005/6/15,54.12,15-Jun-05,7.39,,,,,,,
16603,2005/6/16,16.06.2005,19.25,2005/6/16,54.3,16-Jun-05,7.41,,,,,,,
16604,2005/6/17,17.06.2005,20.4,2005/6/17,56.92,17-Jun-05,7.61,,,,,,,
16607,2005/6/20,20.06.2005,22,2005/6/20,57.1,20-Jun-05,7.8,,,,,,,
