Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
935400,INF.L,363.324,456.50,443.25,2007-12-28,456.50,443.25
1088200,INF.L,356.36,460.00,445.25,2007-12-27,447.75,455.75
000,INF.L,357.554,449.25,449.25,2007-12-26,449.25,449.25
000,INF.L,357.554,449.25,449.25,2007-12-25,449.25,449.25
301800,INF.L,357.554,456.75,449.25,2007-12-24,449.25,453.75
4671300,INF.L,359.743,456.25,413.50,2007-12-21,452.00,419.50
1591500,INF.L,332.086,421.00,413.25,2007-12-20,417.25,421.00
2105200,INF.L,331.887,420.50,413.00,2007-12-19,417.00,419.00
2896700,INF.L,328.703,422.00,409.75,2007-12-18,413.00,413.75
2714300,INF.L,328.106,424.50,410.25,2007-12-17,412.25,421.00
2449300,INF.L,340.244,432.00,424.75,2007-12-14,427.50,428.00
2328900,INF.L,336.264,433.25,421.00,2007-12-13,422.50,431.00
2608600,INF.L,348.004,438.25,427.25,2007-12-12,437.25,433.25
1646500,INF.L,348.401,446.75,434.50,2007-12-11,437.75,442.25
1900900,INF.L,353.177,445.75,434.25,2007-12-10,443.75,434.50
2028700,INF.L,349.197,439.00,425.00,2007-12-07,438.75,426.75
2734700,INF.L,339.647,433.00,423.50,2007-12-06,426.75,433.00
2100500,INF.L,341.437,431.75,426.00,2007-12-05,429.00,429.50
3197100,INF.L,339.846,439.75,422.00,2007-12-04,427.00,438.00
1970900,INF.L,346.412,447.75,434.75,2007-12-03,435.25,441.50
1955200,INF.L,352.978,451.75,441.50,2007-11-30,443.50,448.00
1886000,INF.L,354.172,455.25,441.25,2007-11-29,445.00,441.50
2890800,INF.L,350.789,454.25,424.50,2007-11-28,440.75,430.00
3838800,INF.L,339.249,439.75,412.75,2007-11-27,426.25,439.00
2387700,INF.L,350.391,457.00,440.00,2007-11-26,440.25,455.00
2246900,INF.L,358.748,454.75,442.00,2007-11-23,450.75,442.00
1520400,INF.L,348.401,439.75,422.00,2007-11-22,437.75,431.75
3706900,INF.L,342.233,441.00,418.75,2007-11-21,430.00,436.75
2603200,INF.L,351.983,455.75,437.00,2007-11-20,442.25,448.00
3187900,INF.L,353.973,462.713,439.75,2007-11-19,444.75,462.00
2342500,INF.L,368.498,482.00,462.75,2007-11-16,463.00,473.75
1250600,INF.L,380.038,495.00,476.75,2007-11-15,477.50,494.00
1974700,INF.L,391.181,492.50,477.00,2007-11-14,491.50,482.75
2135000,INF.L,377.849,477.75,469.25,2007-11-13,474.75,475.50
1725200,INF.L,376.258,488.00,469.25,2007-11-12,472.75,476.75
1133700,INF.L,383.62,507.00,479.50,2007-11-09,482.00,502.00
1816100,INF.L,397.946,501.50,489.25,2007-11-08,500.00,498.50
1327200,INF.L,400.333,525.00,503.00,2007-11-07,503.00,521.00
1003200,INF.L,411.874,538.00,517.00,2007-11-06,517.50,532.00
816500,INF.L,421.424,531.50,523.00,2007-11-05,529.50,525.00
846800,INF.L,421.822,532.00,523.50,2007-11-02,530.00,525.00
1202500,INF.L,421.027,539.00,527.50,2007-11-01,529.00,539.00
1997800,INF.L,425.802,536.50,528.00,2007-10-31,535.00,531.50
1920200,INF.L,420.231,539.00,523.50,2007-10-30,528.00,533.50
1040100,INF.L,428.19,539.50,534.00,2007-10-29,538.00,538.00
2534900,INF.L,423.016,540.00,530.00,2007-10-26,531.50,538.50
2283400,INF.L,429.383,540.50,532.00,2007-10-25,539.50,532.00
704000,INF.L,422.22,537.45,528.00,2007-10-24,530.50,535.00
1474400,INF.L,426.598,540.00,532.50,2007-10-23,536.00,532.50
1145500,INF.L,419.435,532.00,521.00,2007-10-22,527.00,527.00
2381400,INF.L,423.016,536.00,523.50,2007-10-19,531.50,524.50
1575500,INF.L,419.435,537.50,523.50,2007-10-18,527.00,537.50
3171400,INF.L,426.20,539.00,523.50,2007-10-17,535.50,529.50
1305400,INF.L,419.833,535.66,525.00,2007-10-16,527.50,530.00
1118600,INF.L,425.802,539.50,535.00,2007-10-15,535.00,537.00
3455100,INF.L,428.588,555.50,530.50,2007-10-12,538.50,551.50
1417600,INF.L,441.72,560.00,554.00,2007-10-11,555.00,560.00
4083100,INF.L,444.107,565.50,549.00,2007-10-10,558.00,554.00
1854400,INF.L,437.342,551.00,534.00,2007-10-09,549.50,543.00
1716800,INF.L,429.781,544.50,532.384,2007-10-08,540.00,535.50
2027100,INF.L,428.588,539.50,526.00,2007-10-05,538.50,528.00
1015100,INF.L,418.241,530.50,518.50,2007-10-04,525.50,523.00
2570300,INF.L,416.251,532.50,520.50,2007-10-03,523.00,528.50
5870700,INF.L,415.853,535.50,510.00,2007-10-02,522.50,510.00
2457200,INF.L,402.721,508.50,492.75,2007-10-01,506.00,492.75
3103100,INF.L,398.344,505.00,490.00,2007-09-28,500.50,501.50
3917900,INF.L,403.119,509.00,502.00,2007-09-27,506.50,506.00
2685000,INF.L,399.935,507.00,500.50,2007-09-26,502.50,501.00
3984700,INF.L,397.349,514.50,490.75,2007-09-25,499.25,511.50
2763000,INF.L,407.496,521.00,512.00,2007-09-24,512.00,516.50
3112300,INF.L,415.455,528.00,516.00,2007-09-21,522.00,516.00
2353700,INF.L,415.455,525.50,517.00,2007-09-20,522.00,525.50
2811900,INF.L,417.445,529.00,517.50,2007-09-19,524.50,517.50
4646800,INF.L,405.109,524.00,507.50,2007-09-18,509.00,517.00
3333400,INF.L,415.455,528.50,516.50,2007-09-17,522.00,525.00
1649400,INF.L,421.027,533.50,522.00,2007-09-14,529.00,529.00
998400,INF.L,425.404,536.50,529.50,2007-09-13,534.50,534.50
2369400,INF.L,428.588,542.00,532.00,2007-09-12,538.50,537.50
1450700,INF.L,431.373,544.50,531.00,2007-09-11,542.00,532.00
1694200,INF.L,421.424,550.00,528.00,2007-09-10,529.50,549.50
1780900,INF.L,437.342,565.00,547.00,2007-09-07,549.50,563.00
2531200,INF.L,447.291,574.00,555.50,2007-09-06,562.00,564.50
2442800,INF.L,445.301,575.50,558.00,2007-09-05,559.50,572.00
1746500,INF.L,457.638,577.50,567.50,2007-09-04,575.00,567.50
1179700,INF.L,456.046,578.00,568.00,2007-09-03,573.00,576.00
6408100,INF.L,455.25,575.00,556.00,2007-08-31,572.00,556.00
6320400,INF.L,442.516,560.50,536.50,2007-08-30,556.00,555.00
3657300,INF.L,430.577,541.00,529.50,2007-08-29,541.00,529.50
4578000,INF.L,424.21,536.50,525.00,2007-08-28,533.00,525.00
000,INF.L,417.445,524.50,524.50,2007-08-27,524.50,524.50
2026400,INF.L,417.445,530.00,522.00,2007-08-24,524.50,522.00
7504900,INF.L,421.822,535.00,513.304,2007-08-23,530.00,521.00
