Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
2696000,PSON.L,528.763,750.50,734.50,2007-12-28,742.50,736.50
2452600,PSON.L,528.763,755.50,741.00,2007-12-27,742.50,751.00
000,PSON.L,530.899,745.50,745.50,2007-12-26,745.50,745.50
000,PSON.L,530.899,745.50,745.50,2007-12-25,745.50,745.50
864100,PSON.L,530.899,746.00,739.00,2007-12-24,745.50,745.00
7840600,PSON.L,523.422,747.50,714.00,2007-12-21,735.00,719.00
2056800,PSON.L,506.686,717.00,705.87,2007-12-20,711.50,708.00
3369100,PSON.L,501.701,708.50,695.50,2007-12-19,704.50,704.00
3434100,PSON.L,494.58,705.00,693.50,2007-12-18,694.50,702.00
3063700,PSON.L,498.853,705.00,693.875,2007-12-17,700.50,699.50
4057700,PSON.L,504.55,720.50,703.50,2007-12-14,708.50,715.00
9422200,PSON.L,501.345,733.50,698.00,2007-12-13,704.00,733.50
3679500,PSON.L,530.899,750.00,736.00,2007-12-12,745.50,745.00
2793800,PSON.L,533.392,761.50,744.00,2007-12-11,749.00,761.00
4294900,PSON.L,537.664,756.50,741.50,2007-12-10,755.00,748.50
4629300,PSON.L,531.967,749.50,736.00,2007-12-07,747.00,742.50
4398200,PSON.L,523.422,745.00,727.50,2007-12-06,735.00,736.50
5326000,PSON.L,524.49,737.00,725.00,2007-12-05,736.50,731.50
3791300,PSON.L,518.437,752.50,724.50,2007-12-04,728.00,752.00
2709100,PSON.L,533.748,756.00,745.50,2007-12-03,749.50,746.50
2153100,PSON.L,531.967,755.50,744.00,2007-11-30,747.00,738.00
000,PSON.L,525.558,738.00,738.00,2007-11-29,738.00,738.00
3438500,PSON.L,525.558,739.50,717.00,2007-11-28,738.00,725.50
2983500,PSON.L,513.452,729.50,707.50,2007-11-27,721.00,727.00
3455900,PSON.L,518.081,734.00,720.50,2007-11-26,727.50,733.00
1839800,PSON.L,515.944,725.00,714.00,2007-11-23,724.50,716.50
2648300,PSON.L,508.467,718.50,702.50,2007-11-22,714.00,713.50
