Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
870300,UBM.L,341.159,499.51,486.702,2007-12-28,497.958,486.702
1390500,UBM.L,337.17,503.78,489.419,2007-12-27,492.136,503.78
671300,UBM.L,340.361,501.451,489.031,2007-12-24,496.793,490.972
3768300,UBM.L,336.638,501.063,475.835,2007-12-21,491.36,477.775
1837700,UBM.L,325.736,476.999,468.072,2007-12-20,475.447,474.282
2487100,UBM.L,322.279,473.894,459.146,2007-12-19,470.401,461.863
2830100,UBM.L,311.643,467.296,454.876,2007-12-18,454.876,458.758
3259600,UBM.L,313.504,464.191,449.831,2007-12-17,457.593,464.191
3761100,UBM.L,313.504,465.744,456.041,2007-12-14,457.593,461.863
3086900,UBM.L,308.186,470.401,447.114,2007-12-13,449.831,470.401
3022600,UBM.L,322.545,473.506,460.31,2007-12-12,470.789,470.013
2048300,UBM.L,328.129,495.629,471.954,2007-12-11,478.94,495.241
1644200,UBM.L,336.904,492.912,477.775,2007-12-10,491.748,477.775
1831000,UBM.L,330.788,488.643,475.059,2007-12-07,482.821,480.88
1929700,UBM.L,326.002,489.419,471.954,2007-12-06,475.835,489.419
1361000,UBM.L,331.586,483.985,476.611,2007-12-05,483.985,476.999
2136000,UBM.L,327.065,486.314,471.177,2007-12-04,477.387,483.597
1907400,UBM.L,332.384,497.958,485.15,2007-12-03,485.15,497.57
2448800,UBM.L,339.563,501.063,492.912,2007-11-30,495.629,494.853
2464800,UBM.L,340.361,502.227,490.195,2007-11-29,496.793,495.241
2014600,UBM.L,338.766,497.003,470.401,2007-11-28,494.465,478.94
2249800,UBM.L,324.406,485.15,467.684,2007-11-27,473.506,477.387
2163700,UBM.L,330.788,498.734,480.492,2007-11-26,482.821,495.241
1448100,UBM.L,336.904,492.912,483.209,2007-11-23,491.748,483.597
2006900,UBM.L,331.054,485.538,472.73,2007-11-22,483.209,485.538
3131800,UBM.L,329.458,496.017,478.552,2007-11-21,480.88,484.374
2192000,UBM.L,337.702,494.465,480.104,2007-11-20,492.912,486.702
3896800,UBM.L,331.054,521.245,480.492,2007-11-19,483.209,517.752
2014200,UBM.L,352.593,530.948,512.318,2007-11-16,514.647,527.067
1720700,UBM.L,364.292,543.368,530.948,2007-11-15,531.724,542.98
2309300,UBM.L,369.079,545.696,532.888,2007-11-14,538.71,543.368
2107500,UBM.L,366.42,535.605,521.633,2007-11-13,534.829,521.633
4596600,UBM.L,361.102,565.879,514.259,2007-11-12,527.067,525.902
2034100,UBM.L,371.472,567.043,530.948,2007-11-09,542.203,564.714
2301300,UBM.L,383.172,560.833,537.158,2007-11-08,559.281,539.875
2514900,UBM.L,377.588,578.687,550.354,2007-11-07,551.13,577.522
1425500,UBM.L,392.479,588.39,571.312,2007-11-06,572.865,581.792
1619500,UBM.L,394.074,582.18,569.372,2007-11-05,575.194,569.372
3763500,UBM.L,399.924,592.659,561.609,2007-11-02,583.732,564.714
3786100,UBM.L,389.287,582.568,561.221,2007-11-01,568.207,562.774
2675700,UBM.L,386.894,565.491,545.696,2007-10-31,564.714,548.413
994900,UBM.L,373.865,551.906,542.203,2007-10-30,545.696,542.203
1647800,UBM.L,374.663,556.952,546.473,2007-10-29,546.861,552.683
846200,UBM.L,379.715,558.893,547.637,2007-10-26,554.235,558.893
1961100,UBM.L,379.449,557.34,544.92,2007-10-25,553.847,551.906
2653000,UBM.L,373.067,548.413,537.934,2007-10-24,544.532,545.696
2743300,UBM.L,371.472,546.085,536.382,2007-10-23,542.203,537.158
2829000,UBM.L,363.495,534.441,520.857,2007-10-22,530.56,520.857
4217600,UBM.L,365.356,541.427,525.902,2007-10-19,533.277,541.427
3402300,UBM.L,369.344,555.788,539.098,2007-10-18,539.098,555.011
5057200,UBM.L,378.652,561.609,551.13,2007-10-17,552.683,560.445
3837000,UBM.L,381.311,558.116,550.742,2007-10-16,556.564,551.518
1774200,UBM.L,380.247,580.627,554.235,2007-10-15,555.011,572.089
2611500,UBM.L,390.883,571.70,557.34,2007-10-12,570.536,562.774
2110800,UBM.L,390.351,580.627,567.819,2007-10-11,569.76,580.627
4264500,UBM.L,390.617,571.70,563.55,2007-10-10,570.148,566.655
2193300,UBM.L,385.565,568.596,555.788,2007-10-09,562.774,555.788
1838000,UBM.L,385.299,570.148,560.833,2007-10-08,562.386,569.76
928000,UBM.L,387.427,566.655,555.788,2007-10-05,565.491,558.504
1488500,UBM.L,383.704,571.70,557.728,2007-10-04,560.057,569.372
1572200,UBM.L,389.022,567.819,560.445,2007-10-03,567.819,560.445
2674200,UBM.L,382.64,566.267,549.19,2007-10-02,558.504,557.34
2806300,UBM.L,376.79,554.235,532.112,2007-10-01,549.966,533.277
