Volume,Symbol,Adj_Close,High,Low,Date,Close,Open
000,%5eSTOXX50E,4404.64,4404.64,4404.64,2007-12-28,4404.64,4404.64
000,%5eSTOXX50E,4404.61,4404.61,4404.61,2007-12-27,4404.61,4404.61
000,%5eSTOXX50E,4388.38,4388.38,4388.38,2007-12-24,4388.38,4388.38
000,%5eSTOXX50E,4314.70,4314.70,4314.70,2007-12-20,4314.70,4314.70
000,%5eSTOXX50E,4301.33,4301.33,4301.33,2007-12-19,4301.33,4301.33
000,%5eSTOXX50E,4309.15,4309.15,4309.15,2007-12-18,4309.15,4309.15
000,%5eSTOXX50E,4312.47,4312.47,4312.47,2007-12-17,4312.47,4312.47
000,%5eSTOXX50E,4384.65,4384.65,4384.65,2007-12-14,4384.65,4384.65
000,%5eSTOXX50E,4370.76,4370.76,4370.76,2007-12-13,4370.76,4370.76
000,%5eSTOXX50E,4469.47,4469.47,4469.47,2007-12-12,4469.47,4469.47
000,%5eSTOXX50E,4449.95,4449.95,4449.95,2007-12-11,4449.95,4449.95
000,%5eSTOXX50E,4465.52,4465.52,4465.52,2007-12-10,4465.52,4465.52
000,%5eSTOXX50E,4446.34,4446.34,4446.34,2007-12-07,4446.34,4446.34
000,%5eSTOXX50E,4414.65,4414.65,4414.65,2007-12-06,4414.65,4414.65
000,%5eSTOXX50E,4410.00,4410.00,4410.00,2007-12-05,4410.00,4410.00
000,%5eSTOXX50E,4339.10,4339.10,4339.10,2007-12-04,4339.10,4339.10
000,%5eSTOXX50E,4394.95,4394.95,4394.95,2007-11-30,4394.95,4394.95
000,%5eSTOXX50E,4347.00,4347.00,4347.00,2007-11-29,4347.00,4347.00
000,%5eSTOXX50E,4321.75,4321.75,4321.75,2007-11-28,4321.75,4321.75
000,%5eSTOXX50E,4224.44,4224.44,4224.44,2007-11-27,4224.44,4224.44
000,%5eSTOXX50E,4238.00,4238.00,4238.00,2007-11-26,4238.00,4238.00
000,%5eSTOXX50E,4268.53,4268.53,4268.53,2007-11-23,4268.53,4268.53
000,%5eSTOXX50E,4208.92,4208.92,4208.92,2007-11-22,4208.92,4208.92
000,%5eSTOXX50E,4195.58,4195.58,4195.58,2007-11-21,4195.58,4195.58
000,%5eSTOXX50E,4277.24,4277.24,4277.24,2007-11-20,4277.24,4277.24
